iter	Logloss
0	0.6430294611
5	0.4678386922
10	0.3763041131
15	0.3273235406
20	0.2985281897
25	0.2804716363
30	0.2678015757
35	0.2593277724
40	0.2529658157
45	0.2482020542
50	0.2445321
55	0.2412226022
60	0.2386660965
65	0.2362291191
70	0.2341013038
75	0.2324794873
80	0.230735963
85	0.2294297531
90	0.2283211853
95	0.2269597721
100	0.225851536
105	0.2245289073
110	0.2233879519
115	0.2224233866
120	0.2215106128
125	0.2206355811
130	0.2195804397
135	0.2181463145
140	0.2174332203
145	0.2166506127
150	0.2159333013
155	0.2152707194
160	0.2145656807
165	0.2139176933
170	0.2133137738
175	0.2125752814
180	0.2120333176
185	0.2113225927
190	0.2105057969
195	0.2097478768
200	0.2090130567
205	0.2084180929
210	0.2078374868
215	0.2070691893
220	0.2064468845
225	0.2059014142
230	0.2053792809
235	0.2048221065
240	0.2042145384
245	0.2035291407
250	0.2030089028
255	0.2025385847
260	0.2019885418
265	0.2013545329
270	0.200783996
275	0.200150461
280	0.1997471688
285	0.1992221687
290	0.1986453297
295	0.1981122149
300	0.1976094383
305	0.1971826196
310	0.196754249
315	0.1962727363
320	0.1958803782
325	0.1953050436
330	0.1948336238
335	0.1943099387
340	0.1938148029
345	0.1933470437
350	0.1927454223
355	0.1923200962
360	0.1919123143
365	0.191402892
370	0.1910189091
375	0.1905686823
380	0.1899676888
385	0.1894682172
390	0.1889038404
395	0.1885959101
400	0.1880697017
405	0.1875061659
410	0.1870796789
415	0.1866205911
420	0.1861126495
425	0.1856937085
430	0.1853915948
435	0.1850799448
440	0.1846486601
445	0.1841930669
450	0.1837828684
455	0.1831251079
460	0.1826109352
465	0.1822355171
470	0.1817695111
475	0.1813240346
480	0.1809776635
485	0.1805536167
490	0.1801882798
495	0.1798606138
500	0.179451126
505	0.179005839
510	0.1786306342
515	0.1781131328
520	0.1777443249
525	0.1773941037
530	0.1769714904
535	0.1764502692
540	0.1760252985
545	0.1754644636
550	0.1751970355
555	0.1748171396
560	0.1743043293
565	0.1739621754
570	0.1736176759
575	0.1731839271
580	0.1728042799
585	0.1723927191
590	0.1720176801
595	0.1715686497
600	0.1711666843
605	0.170882103
610	0.1705002524
615	0.1701894317
620	0.1698371019
625	0.1694667185
630	0.1691042602
635	0.1686275689
640	0.1683539216
645	0.1680177855
650	0.1675595269
655	0.1670908082
660	0.1666569883
665	0.1663913253
670	0.1660458663
675	0.1656877437
680	0.16538409
685	0.16504286
690	0.1647570467
695	0.1643072581
700	0.1640078335
705	0.1636290037
710	0.1633553682
715	0.1629803648
720	0.1626217802
725	0.1623833516
730	0.1620201233
735	0.1616445275
740	0.1612589336
745	0.1609502215
750	0.1605680629
755	0.1600981477
760	0.1597612653
765	0.1593718569
770	0.1590564636
775	0.1587226967
780	0.1584283304
785	0.1581245227
790	0.1578311633
795	0.1575401139
800	0.1572464938
805	0.1569019944
810	0.1565844213
815	0.1561520112
820	0.1559015942
825	0.1556197257
830	0.1553300978
835	0.1549750907
840	0.1547579735
845	0.1544775975
850	0.1540846471
855	0.1538596877
860	0.1535493527
865	0.1533346994
870	0.1529726084
875	0.1527320238
880	0.1525191238
885	0.152232647
890	0.1519223831
895	0.1514280528
900	0.1510852592
905	0.1508094085
910	0.1504889094
915	0.1501127806
920	0.1498443219
925	0.1495083162
930	0.1491814912
935	0.1489067185
940	0.1486330357
